epoch;accuracy;loss;val_accuracy;val_loss
0;0.7957621216773987;0.48352473974227905;0.8019599914550781;0.4315962493419647
1;0.8032756447792053;0.42943906784057617;0.8019599914550781;0.4308508336544037
2;0.8032756447792053;0.4292277991771698;0.8019599914550781;0.4308362603187561
3;0.8032756447792053;0.42911845445632935;0.8019599914550781;0.43057721853256226
4;0.8032756447792053;0.4290785491466522;0.8019599914550781;0.4306706190109253
5;0.8032756447792053;0.42902103066444397;0.8019599914550781;0.4306444823741913
6;0.8032756447792053;0.42898792028427124;0.8019599914550781;0.43073123693466187
7;0.8032756447792053;0.42899641394615173;0.8019599914550781;0.4306572377681732
8;0.8032756447792053;0.4289754033088684;0.8019599914550781;0.43056520819664
9;0.8032756447792053;0.4289500117301941;0.8019599914550781;0.4305770695209503
